"","countries","new_domexp","anthonyMan","ManualExtrap","AnthonyNeeds","ExtrapExpRish","ManualExtrapRishman","RishmanNeeds","EmExtrapExp","Wise_Manual_Exp","EmNeeds"
"162","Tanzania",NA,64611467.8691363,64611467.8691363,103407583.656471,82518635.0801949,64611467.8691363,136719342.950274,41479260.2667545,41479260.2667545,129124291.677781
"163","Timor",NA,2795116.90312473,2795116.90312473,5156233.66068944,1582499.07447357,2795116.90312473,6324836.81794942,3137576.28929004,3137576.28929004,77392402.6823525
"164","Togo",NA,4417181.79805003,4417181.79805003,7981575.17349516,6968237.92729469,4417181.79805003,8480069.18441576,7877741.38454494,7877741.38454494,83787992.784025
"165","Uganda",214210000,24582873.8569168,214210000,324742305.809306,39750160.8026228,214210000,48264647.1818429,25069856.532847,214210000,106984172.507673
"166","Vanuatu",NA,NA,NA,NA,2203303.75991452,NA,1607163.42238397,4517590.97098643,4517590.97098643,79254364.8843136
"167","Yemen",NA,11361280.2817802,11361280.2817802,19670413.7024178,6359663.96394448,11361280.2817802,10380303.3415747,4523561.86303512,4523561.86303512,79262421.0125955
"168","Zambia",NA,46895450.5207639,46895450.5207639,76149766.5859149,47136972.8358086,46895450.5207639,56666340.181538,14528754.3293798,14528754.3293798,92761763.0433485
"169","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Aruba",NA,2515673.16682827,2515673.16682827,4662898.02617158,1884909.29194036,2515673.16682827,1466239.53196053,4502521.70217734,4502521.70217734,79234032.9202368
"171","Bermuda",NA,1231175.36567803,1231175.36567803,2356991.86257599,1498283.53598242,1231175.36567803,953710.304951894,1252627.09790281,1252627.09790281,74849165.8649978
"172","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Cabo Verde",NA,4926249.31403312,4926249.31403312,8857621.52540826,3111155.70349603,4926249.31403312,2145241.59266491,6711118.1788739,6711118.1788739,82213945.5353247
"174","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Comoros",NA,460674.194254416,460674.194254416,922023.472536872,727021.161729699,460674.194254416,638783.101021255,3202915.44421021,3202915.44421021,77480560.4667464
"176","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
