"","countries","countrycode","AverageGDPrate","GDP","birdspeciesthreatened","ln_landarea","Gov","average_population_density","mammalspeciesthreatened","Price_Index_yr2011","terrestrialandmarineprotectedare","ln_popdnsty","constant","AvgCO2ReductionPercent","new_domexp","GDPmultiplier","2030GDP","iso3c","aglandpercent","futureagland","growthmultiplier_agland","futureco2level","growthmultiplier_co2ems.x","ln_futureGDP","ln_futureAgLand","ln_futureco2","futureGDP_sq","ExpRishman","futureco2levelppp","growthmultiplier_co2ems.y","ln_futureco2ppp"
"187","Tajikistan","TJK",0.0682869465932982,7522947810.12326,15,11.84589,-2.334846,56.8496,7,48.6628,22.2786,4.04040918411199,1,-10.5693916821166,NA,1.0682869465933,16620462710.3636,"TJK",34.1379061892067,34.5744932929511,1.00090811471463,0.222335218684512,0.997721689746856,23.5339004665616,3.54311622214195,-1.50356904193019,553.844471170028,5421052.1232652,0.222335218684512,0.997721689746856,-1.50356904193019
"188","Turkmenistan","TKM",0.0924545453894824,40761142857.1429,19,13.06034,-2.745214,11.2655,10,64.9789,3.21224,2.4217449581633,1,-4.40856078635829,NA,1.09245454538948,117784153230.79,"TKM",72.0064690485817,69.5179382780063,0.997490928787909,0.211518136621578,0.918345847793501,25.4921195764561,4.24158482398697,-1.55344453182444,649.848160500335,24840753.1826341,0.211518136621578,0.918345847793501,-1.55344453182444
"189","Timor","TLS",0,2.581e+09,6,9.607101,-1.642235,76.4402,5,66.6383,4.4227,4.33650873579984,1,-13.5938809058387,NA,1,2.581e+09,"TLS",25.5548083389375,25.136097392866,0.998820657678117,0.164659905024768,1.06682455104787,21.6714427576829,3.22430495614237,-1.80387311390804,469.651431199526,1137160.87808508,0.164659905024768,1.06682455104787,-1.80387311390804
"190","Tonga","TON",0.0197223426179571,450353313.884584,5,6.579251,0.0595575,142.281,2,NA,1.52165,4.95780397545027,1,0.322195918344417,NA,1.01972234261796,569293968.95207,"TON",45.8333333333333,50.081004236853,1.00635080645161,0.17167510917014,0.985988305320328,20.1599075000694,3.91364177924361,-1.76215148856391,406.421870411356,626525.87098342,0.17167510917014,0.985988305320328,-1.76215148856391
"191","Trinidad and Tobago","TTO",0,23808146747.7994,5,8.542861,0.0945388,262.309,2,79.2273,2.01446,5.56952319814084,1,-1.08260699426836,NA,1,23808146747.7994,"TTO",10.5263157894737,10.5263157894737,1,0.820946314481945,0.98584667868374,23.8932936593802,2.3538783873816,-0.197297562067335,570.889481893376,2749014.27176687,0.820946314481945,0.98584667868374,-0.197297562067335
"192","Tunisia","TUN",0.0231671140423097,39871132267.9361,11,11.9535,-0.6518101,69.8967,14,54.24,5.2086,4.24701843782489,1,-2.97193197265183,49103000,1.02316711404231,52482853987.7115,"TUN",64.836508753862,67.3741105888172,1.00274604755993,0.14718413174005,0.973180680336781,24.6837523624914,4.21026082823393,-1.91607087917728,609.287630692798,35209226.423945,0.14718413174005,0.973180680336781,-1.91607087917728
"193","Turkey","TUR",0.0488699588388049,771350330455.267,20,13.55367,-0.6180814,97.493,19,75.6773,0.190643,4.57978058055463,1,-3.64045247506309,NA,1.0488699588388,1367449922884.13,"TUR",49.7992541870769,46.1390566052322,0.994561968377476,0.0839735641831223,0.951220927732063,27.9439687511089,3.8316598061827,-2.47725324177676,780.86538956295,185483175.365049,0.0839735641831223,0.951220927732063,-2.47725324177676
"194","Tuvalu","TUV",0.0265433256118978,42587778.4724662,1,3.401197,0.0903002,359.005,2,NA,0.008598,5.88333631596789,1,-8.33333333333333,NA,1.0265433256119,58319311.7468688,"TUV",59.9999984105427,65.1346149582012,1.00588234716633,0.296792347761622,0.998896420072655,17.8814438442725,4.17645612768968,-1.2147225504956,319.74603395587,90274.6695912279,0.296792347761622,0.998896420072655,-1.2147225504956
"195","Tanzania","TZA",0.0620334497412831,58001200572.3965,49,13.69425,-1.154125,53.5099,41,42.8566,30.928,3.9798666835119,1,-8.84664783389191,NA,1.06203344974128,119425021692.757,"TZA",44.7617972454279,52.6178581930274,1.01161699751793,0.120543304933263,1.01919156680484,25.5059545778658,3.96305557149654,-2.11574621357236,650.553718928152,116043767.082209,0.120543304933263,1.01919156680484,-2.11574621357236
"196","Uganda","UGA",0.0573222221646639,27461440192.3549,30,12.20758,-1.272696,174.606,31,42.6071,16.064,5.16253200707623,1,-9.68184735501304,214210000,1.05732222216466,53605781304.3103,"UGA",71.8880909634949,78.7428305701165,1.00652667908377,0.118421430505064,1.02657803954982,24.7049227593617,4.36618723318184,-2.13350557202355,610.333208546029,46671589.6391546,0.118421430505064,1.02657803954982,-2.13350557202355
"197","Ukraine","UKR",0,130832374404.882,17,13.2696,-1.93524,78.7608,11,55.5827,3.87541,4.36641541115966,1,3.90096363516651,NA,1,130832374404.882,"UKR",71.665314436638,72.2409971281454,1.00057165197717,0.215016888795807,0.93721249660518,25.5971827560845,4.28000771200552,-1.53703870140093,655.215765048388,50826248.0052914,0.215016888795807,0.93721249660518,-1.53703870140093
"198","Uruguay","URY",0.0382469562301273,59596885024.3487,22,12.07266,1.856546,19.3236,10,102.029,2.30505,2.96132714682981,1,-1.80904083968397,3.2e+09,1.03824695623013,93504294964.4575,"URY",82.5597052301165,80.7283968390229,0.998399044580648,0.0491112730890018,0.960123772143929,25.2612732076348,4.39109039490457,-3.01366667605375,638.131924070767,290159931.139377,0.0491112730890018,0.960123772143929,-3.01366667605375
"199","United States","USA",0.015979385314938,20544343456936.5,91,16.02923,3.009977,34.2668,40,128.952,26.3275,3.53417695539597,1,0.96357578946624,NA,1.01597938531494,24849120320908.4,"USA",44.3690679995015,43.9720835153818,0.999358235092463,0.145948046290706,0.955991229279515,30.8438434682836,3.78355496700031,-1.92450456792642,951.342679895979,44895153319.4395,0.145948046290706,0.955991229279515,-1.92450456792642
